id,emergency_id,title,year,start_date,end_date,country,type,launch_date,original_requirements,current_requirements,funding,pledges
1026,16422,Afghanistan 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Afghanistan,SRP,12/16/2013 12:00:00 AM,406429895,406429895,313766121,0
1040,16423,Burkina Faso 2014,2014,1/1/2013 12:00:00 AM,12/31/2014 12:00:00 AM,Burkina Faso,SRP,2/3/2014 12:00:00 AM,109281921,99333722,40547926,3600000
1051,16443,Cameroon 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Cameroon,SRP,2/3/2014 12:00:00 AM,48462739,125770226,72959617,11735870
1029,16437,Central African Republic 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Central African Republic,SRP,12/16/2013 12:00:00 AM,246772031,555425562,379643159,0
1030,16424,Chad 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Chad,SRP,2/3/2014 12:00:00 AM,527350382,618458074,226544292,0
1027,16425,Democratic Republic of the Congo 2014,2014,1/1/2014 12:00:00 AM,4/30/2015 12:00:00 AM,"Congo, Democratic Republic of the",SRP,12/16/2013 12:00:00 AM,832097250,832097250,389719537,0
1031,16426,Djibouti 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Djibouti,SRP,5/6/2014 12:00:00 AM,74085087,74085087,20963729,0
1060,16506,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - October 2014 - June 2015",2014,10/1/2014 12:00:00 AM,6/30/2015 12:00:00 AM,Region,NON-CAP,9/16/2014 12:00:00 AM,987844154,2270000000,1507468018,140560837
1049,16456,Gambia 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Gambia,SRP,2/3/2014 12:00:00 AM,25983666,18318686,4386229,0
1032,16427,Haiti Humanitarian Action Plan 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Haiti,SRP,12/16/2013 12:00:00 AM,168974256,157454953,89854884,0
983,16447,Iraq 2014,2014,4/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Iraq,SRP,2/28/2014 12:00:00 AM,103742377,1113276782,818045337,0
1034,16429,Mali 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Mali,SRP,2/3/2014 12:00:00 AM,568416225,481021163,241698529,200000
1035,16430,Mauritania 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Mauritania,SRP,2/3/2014 12:00:00 AM,107927077,90922853,37661972,0
1056,16448,Myanmar 2014,2014,2/28/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Myanmar,SRP,3/7/2014 12:00:00 AM,192023000,192023000,128967418,0
1028,16431,Niger Plan de Réponse Stratégique 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Niger,SRP,2/3/2014 12:00:00 AM,390922652,305236428,174341365,1270648
1052,16450,Nigeria 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Nigeria,SRP,2/3/2014 12:00:00 AM,74860697,93397393,17794549,0
1036,16432,occupied Palestinian territory 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,"Palestinian territory, occupied",SRP,12/16/2013 12:00:00 AM,390338824,931086454,501113076,0
1041,16433,Philippines - Bohol Earthquake Action Plan (October 2013 - April 2014),2014,10/22/2013 12:00:00 AM,4/22/2014 12:00:00 AM,Philippines,FLASH,10/30/2013 12:00:00 AM,46758966,33828939,16568850,0
1043,16439,Philippines - Typhoon Haiyan Strategic Response Plan (November 2013 - October 2014),2014,11/8/2013 12:00:00 AM,5/7/2014 12:00:00 AM,Philippines,SRP,11/12/2013 12:00:00 AM,307637263,775748656,467422422,14784028
1059,16433,Philippines- Zamboanga crisis (October 2013-August 2014),2014,10/1/2013 12:00:00 AM,8/31/2014 12:00:00 AM,Philippines,SRP,10/1/2013 12:00:00 AM,0,12795882,5977854,0
1025,16421,Provision of Central Emergency Response Fund 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,none,n/a,1/1/2014 12:00:00 AM,0,0,8820009,10935539
1057,16492,Republic of Congo 2014,2014,4/10/2014 12:00:00 AM,12/31/2014 12:00:00 AM,"Congo, Republic of",SRP,4/30/2014 12:00:00 AM,14269108,14269108,5163880,0
1024,16419,Republic of South Sudan - Crisis Response Plan 2014,2014,1/1/2014 12:00:00 AM,6/30/2014 12:00:00 AM,South Sudan,SRP,12/16/2013 12:00:00 AM,1101369452,1801753424,1595662449,0
1053,16474,Sahel Regional 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Region,SRP,2/3/2014 12:00:00 AM,49759871,49759871,23273308,0
1050,16457,Senegal 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Senegal,SRP,2/3/2014 12:00:00 AM,122098777,64133225,20902145,0
1037,16434,Somalia 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Somalia,SRP,12/16/2013 12:00:00 AM,933070303,933070303,458109714,1684380
1058,16507,"South Sudan Regional Refugee Response Plan (Ethiopia, Kenya, Sudan and Uganda) 2014",2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Region,RRP,2/15/2014 12:00:00 AM,370777164,657669609,356223007,0
1038,16435,Sudan Humanitarian Work Plan 2014,2014,1/1/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Sudan,SRP,12/16/2013 12:00:00 AM,995517357,985696822,546892737,0
1044,16440,Syria Humanitarian Assistance Response Plan (SHARP) 2014,2014,11/9/2013 12:00:00 AM,12/31/2014 12:00:00 AM,Syrian Arab Republic,SRP,12/16/2013 12:00:00 AM,2276149354,2256199013,1108121389,0
1048,16440,Syria Regional Refugee Response Plan (RRP) 2014,2014,1/2/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Region,RRP,12/16/2013 12:00:00 AM,4264717711,37406
